Ticker,Summary,Label,Confidence,URL
ETH,Uniswap overtakes Coinbase as second-largest platform for ethereum trades. Decentralised cryptocurrency exchanges have been in the news recently,NEGATIVE,0.9465776681900024,https://uk.finance.yahoo.com/news/defi-exchange-overtakes-coinbase-for-eth-trades-ftx-161934796.html
ETH,"Security firm Arkham finds $339 million in Ether, DAI, Maker’s stablecoin. Outflows at bankrupt FTX were caused by insider attack",NEGATIVE,0.9990807771682739,https://finance.yahoo.com/news/ftx-hacker-panicked-still-holds-233057265.html
ETH,Fund held more than $500 million in crypto as of Oct. 1. Ether has fallen more than 8% in the past two weeks,NEGATIVE,0.9995892643928528,https://finance.yahoo.com/news/crypto-fund-alamedas-ethereum-wallet-105636445.html
ETH,Ether Capital has no exposure to FTX or its affiliated businesses. Figment has confirmed there will be no direct or immediate impact to its business,NEGATIVE,0.9995774626731873,https://finance.yahoo.com/news/ether-capital-corporation-maintains-highest-173500016.html
ETH,We are aware of the issue and are working to resolve it.,POSITIVE,0.9979088306427002,https://finance.yahoo.com/news/first-mover-americas-ftxs-hacked-133244491.html
ETH,"Revenue for the second quarter was $29.6 million, up $44.2 million over previous quarter.",POSITIVE,0.9823259711265564,https://finance.yahoo.com/news/retransmission-hive-announces-quarterly-revenue-110000288.html
ETH,"PRDT Finance is the first fully cross-chain prediction platform. The platform supports Bitcoin, Ethereum, BNB, Polygon",POSITIVE,0.9737576842308044,https://finance.yahoo.com/news/one-prdt-finance-might-roll-130000713.html
ETH,"Ethereum network usage has increased in recent days. Ether's supply has declined by 5,598 since the Merge upgrade",NEGATIVE,0.9983112812042236,https://finance.yahoo.com/news/ether-turns-deflationary-amount-eth-095751397.html
ETH,"Ether rose over 16% last week, overshadowing bitcoin’s 5% gain. Supply has increased since the platform switched to PoS mechanism",POSITIVE,0.8470471501350403,https://finance.yahoo.com/news/ether-sees-biggest-weekly-gain-082926717.html
ETH,Crypto.com sent $400 million to rival Gate.io. CEO Marszalek: ‘It was supposed to be a move to a new cold storage address.’,NEGATIVE,0.9993730187416077,https://finance.yahoo.com/news/crypto-com-accidentally-sent-400m-145924881.html
FTX,FTX-driven crypto rout is a wake-up call for investors. S&P 500 is up 5.9% in past five trading sessions,NEGATIVE,0.9955804944038391,https://finance.yahoo.com/news/ft-xs-bust-and-crypto-crash-come-with-two-silver-linings-103045894.html
FTX,"FTX may have more than 1 million creditors, court document shows. Bitcoin has fallen by more than 14% since FTX filed for bankruptcy",NEGATIVE,0.9996664524078369,https://finance.yahoo.com/news/ftx-creditors-1-million-bankruptcy-142549111.html
FTX,Saylor compares Bankman-Fried to Jordan Belfort. FTX filed for Chapter 11 bankruptcy following a failed takeover,NEGATIVE,0.9976012110710144,https://finance.yahoo.com/news/sam-bankman-fried-jordan-belfort-of-crypto-era-microstrategy-193604232.html
FTX,"FTX is ‘one of the most damaging events in crypto history,’ ARK says. Regulators should ‘take draconian measures,’ firm says",NEGATIVE,0.9986016154289246,https://finance.yahoo.com/news/ark-invest-ftx-delay-institutional-crypto-adoption-213422035.html
FTX,"FTX, once one of the world’s largest, filed for bankruptcy. Analysts say hundreds of millions of dollars may have vanished",NEGATIVE,0.9996944665908813,https://finance.yahoo.com/news/explainer-whats-happening-bankrupt-crypto-213335145.html
FTX,"Ikigai says it had a ‘large majority’ of its assets on FTX. Crypto lenders BlockFi, Berkeley Research also provide updates",NEGATIVE,0.9852508306503296,https://finance.yahoo.com/news/ikigai-blockfi-ftx-193551128.html
FTX,We are aware of the issue and are working to resolve it.,POSITIVE,0.9979088306427002,https://finance.yahoo.com/video/coinbase-major-ramp-off-ramp-203807219.html
FTX,FTX says ‘unauthorized access’ to its accounts. Analysts say hundreds of millions of dollars are missing,NEGATIVE,0.9996572732925415,https://finance.yahoo.com/news/funds-disappear-imploding-crypto-exchange-213514063.html
FTX,"FTX has collapsed, tanking his fortune by 94%. Bankman-Fried told The New York Times that playing video game cleared his mind",NEGATIVE,0.999707043170929,https://finance.yahoo.com/news/losing-almost-fortune-ftxs-sam-133052491.html
FTX,We are aware of the issue and are working to resolve it.,POSITIVE,0.9979088306427002,https://finance.yahoo.com/video/ftx-binance-fallout-creates-crypto-161926938.html
BTC,FTX-driven crypto rout is a wake-up call for investors. S&P 500 is up 5.9% in past five trading sessions,NEGATIVE,0.9955804944038391,https://finance.yahoo.com/news/ft-xs-bust-and-crypto-crash-come-with-two-silver-linings-103045894.html
BTC,"Cryptocurrencies have taken off, most recently experiencing a meteoric rise and fall.",NEGATIVE,0.8107017874717712,https://finance.yahoo.com/news/bitcoin-what-to-know-about-crypto-185658105.html
BTC,"Billionaire investor doesn’t like the asset, says it’s unproductive. Bitcoin has lost more than half its value since hitting peak",NEGATIVE,0.9997307658195496,https://finance.yahoo.com/news/come-bad-ending-one-since-120000331.html
BTC,"FTX, once third-largest crypto exchange, filed for bankruptcy. Whales, shrimps are among crypto holders to pull tokens: Glassnode",NEGATIVE,0.9848794341087341,https://finance.yahoo.com/news/crypto-investors-pulling-bitcoin-exchanges-205544298.html
BTC,"Robert Shiller says new bottom for Bitcoin could be as low as $10,000.",NEGATIVE,0.9995554089546204,https://finance.yahoo.com/news/rich-dad-poor-dad-author-150109662.html
BTC,Largest crypto exchange had been in talks to buy rival FTX. FTX has been struggling with a $2 billion gap,NEGATIVE,0.9973641037940979,https://finance.yahoo.com/news/bitcoin-crypto-ftx-binance-contagion-224955324.html
BTC,"Revenue from digital currency mining of $18.5 million for nine-month period ended September 30, 2022.",NEGATIVE,0.9462714195251465,https://finance.yahoo.com/news/digihost-reports-positive-third-quarter-110000487.html
BTC,"Analysts at Morgan Stanley see $14,000 as next level to watch",POSITIVE,0.964364230632782,https://finance.yahoo.com/news/renewed-bitcoin-market-swoon-put-084806575.html
BTC,Grayscale’s GBTC has a 42% discount to Bitcoin’s value. Regulators have repeatedly denied requests to convert GBTC into an ETF,NEGATIVE,0.9937835931777954,https://finance.yahoo.com/news/world-biggest-crypto-fund-hits-150837105.html
BTC,Buffett has been a vocal critic of the cryptocurrency. Bitcoin has plunged 65% since November 2021,NEGATIVE,0.9553768634796143,https://finance.yahoo.com/news/warren-buffett-dismissed-bitcoin-worthless-092907947.html
